"Name","Address","Website","Email","Cost","Rating","Gift Card (y/n)","Reservations (y/n)","Delivery (y/n)","Source"
"Flying Fish & Grill","211 San Mateo Rd Half Moon Bay, CA 94019","flyingfishgrill.net",,"$$","4",,"n","y","Yelp"
"Pasta Moon","845 Main St Half Moon Bay, CA 94019","pastamoon.com",,"$$$","4",,"y","n","Yelp"
"Barbara’s Fishtrap","281 Capistrano Rd Half Moon Bay, CA 94019","barbarasfishtrap.com",,"$$","4",,"n","n","Yelp"
"Navio","1 Miramontes Point Rd Half Moon Bay, CA 94019","ritzcarlton.com/en/hotels/cali…",,"$$$$","4",,"y","n","Yelp"
"Evangeline Cuisine","failed to fetch address","failed to fetch site",,"$$$","4.5",,"n","n","Yelp"
"Monsoon Himalayan Cuisine","20 Stone Pine Rd Ste B Half Moon Bay, CA 94019","monsoonhimalayancuisine.com",,"$$","4.5",,"y","y","Yelp"
"Sacrilege Brewery + Kitchen","730 Main St Half Moon Bay, CA 94019","sacrilegebrewing.com",,"$$","4",,"n","y","Yelp"
"Cantina at San Benito House","356 Main St Half Moon Bay, CA 94019","sanbenitohouse.com/cantina",,"$$","4",,"n","n","Yelp"
"Old Princeton Landing Public House & Grill","460 Capistrano Rd Half Moon Bay, CA 94019","oplhmb.com",,"$$","4",,"n","n","Yelp"
"Dad’s Luncheonette","225 Cabrillo Hwy S Half Moon Bay, CA 94019","dadsluncheonette.com",,"$$","4.5",,"n","n","Yelp"
"Café Capistrano","523 Church St Half Moon Bay, CA 94019","failed to fetch site",,"$$","4.5",,"y","y","Yelp"
"Miramar Beach Restaurant","131 Mirada Rd Half Moon Bay, CA 94019","miramarbeachrestaurant.com",,"$$","3.5",,"n","n","Yelp"
"Sam’s Chowder House","4210 N Cabrillo Hwy Half Moon Bay, CA 94019","samschowderhouse.com",,"$$","3.5",,"y","n","Yelp"
"Fattoria E Mare","315 Main St Half Moon Bay, CA 94019","fattoriaemare.com",,"failed to fetch cost","4.5",,"n","n","Yelp"
"Half Moon Bay Brewing Company","390 Capistrano Rd Half Moon Bay, CA 94019","hmbbrewingco.com",,"$$","3.5",,"n","y","Yelp"
"Lamas Peruvian and Mexican Cuisine","270 Capistrano Rd Ste 46 Half Moon Bay, CA 94019","lamasperuvianfood.com",,"$$","4.5",,"n","y","Yelp"
"Mezza Luna Italian Restaurant","459 Prospect Way Half Moon Bay, CA 94019","mezzalunabythesea.com",,"$$","4",,"y","n","Yelp"
"The Mountain House","13808 Skyline Blvd Woodside, CA 94062","themountainhouse.com",,"$$$","4",,"y","n","Yelp"
"The Barn","3068 N Cabrillo Hwy Half Moon Bay, CA 94019","thebarnhmb.com",,"$$","4",,"n","n","Yelp"
"VIA UNO Cucina Italiana & Bar","2810 Cabrillo Hwy N Half Moon Bay, CA 94019","viaunorestaurant.com",,"$$","4",,"y","n","Yelp"
"Taste Cafe","50 N Cabrillo Hwy Half Moon Bay, CA 94019","ilovetastecafe.com",,"$$","4.5",,"y","n","Yelp"
"3 Pigs BBQ","408 Main St Half Moon Bay, CA 94019","3pigbbq.com",,"failed to fetch cost","4",,"n","y","Yelp"
"The Conservatory","1 Miramontes Point Rd Half Moon Bay, CA 94019","ritzcarlton.com/en/hotels/cali…",,"$$$","3",,"y","n","Yelp"
